land_area,sale_year,num_bath,num_bed,num_parking,km_from_cbd,suburb_median_income,cash_rate,purchase_price
594.0,2016,2.0,4.0,2.0,78.54,24752.0,2.0,525000.0
1351.0,2016,4.0,4.0,2.0,47.05,29432.0,2.0,530000.0
344.0,2016,1.0,3.0,1.0,40.12,32292.0,2.0,452000.0
468.0,2016,2.0,4.0,2.0,63.59,31668.0,2.0,480000.0
1850.0,2016,0.0,0.0,0.0,49.98,45084.0,2.0,365500.0
1248.0,2016,0.0,0.0,0.0,59.15,38740.0,2.0,242500.0
582.0,2016,1.0,3.0,2.0,40.12,32292.0,2.0,495000.0
626.0,2016,1.0,3.0,1.0,47.05,29432.0,2.0,550000.0
556.0,2016,1.0,3.0,1.0,43.91,36764.0,2.0,535000.0
493.0,2016,1.0,3.0,3.0,74.11,25844.0,2.0,410000.0
715.0,2016,2.0,4.0,3.0,22.31,40560.0,2.0,890000.0
695.0,2016,3.0,4.0,2.0,39.53,24180.0,2.0,533000.0
904.0,2016,2.0,4.0,2.0,20.61,40092.0,2.0,1120500.0
581.0,2016,1.0,3.0,3.0,40.12,32292.0,2.0,473000.0
263.0,2016,3.0,3.0,2.0,20.43,24388.0,2.0,675000.0
791.0,2016,1.0,3.0,1.0,47.05,29432.0,2.0,500000.0
2109.0,2016,3.0,6.0,2.0,59.15,38740.0,2.0,830000.0
557.0,2016,1.0,3.0,2.0,22.31,40560.0,2.0,885000.0
993.0,2016,1.0,3.0,1.0,59.15,38740.0,2.0,510000.0
555.0,2016,2.0,4.0,2.0,63.59,31668.0,2.0,625000.0
651.0,2016,1.0,3.0,1.0,40.12,32292.0,2.0,520000.0
862.0,2016,3.0,5.0,8.0,63.59,31668.0,2.0,610000.0
748.0,2016,2.0,4.0,0.0,43.91,36764.0,2.0,555000.0
828.0,2016,1.0,3.0,2.0,59.15,38740.0,2.0,570000.0
900.0,2016,1.0,3.0,4.0,20.61,40092.0,2.0,1250000.0
623.0,2016,1.0,3.0,2.0,47.05,29432.0,2.0,540000.0
122.0,2016,1.0,1.0,1.0,65.14,31148.0,2.0,272500.0
642.0,2016,1.0,1.0,0.0,47.05,29432.0,2.0,395000.0
550.0,2016,1.0,3.0,2.0,28.94,25688.0,2.0,695000.0
560.0,2016,2.0,4.0,2.0,31.04,47060.0,2.0,940000.0
607.0,2016,1.0,4.0,5.0,22.31,40560.0,2.0,930000.0
556.0,2016,2.0,3.0,2.0,43.91,36764.0,2.0,557000.0
556.0,2016,2.0,4.0,2.0,49.98,45084.0,2.0,670000.0
771.0,2016,2.0,4.0,3.0,63.59,31668.0,2.0,558000.0
618.0,2016,1.0,3.0,1.0,47.05,29432.0,2.0,550000.0
710.0,2016,1.0,3.0,1.0,20.61,40092.0,2.0,936000.0
601.0,2016,1.0,1.0,2.0,49.98,45084.0,2.0,646000.0
758.0,2016,1.0,3.0,3.0,20.43,24388.0,2.0,712000.0
987.0,2016,4.0,5.0,3.0,20.61,40092.0,2.0,1500000.0
720.0,2016,3.0,4.0,2.0,20.61,40092.0,2.0,1180000.0
601.0,2016,1.0,3.0,1.0,53.4,34632.0,2.0,580000.0
800.0,2016,2.0,4.0,2.0,19.05,44460.0,2.0,1670000.0
695.0,2016,3.0,4.0,4.0,63.59,31668.0,2.0,850000.0
177.0,2016,1.0,4.0,0.0,5.31,56784.0,2.0,1600000.0
563.0,2016,2.0,3.0,1.0,28.94,25688.0,2.0,828000.0
771.0,2016,1.0,3.0,1.0,43.91,36764.0,2.0,553000.0
702.0,2016,2.0,4.0,6.0,40.94,40716.0,2.0,900000.0
1080.0,2016,2.0,4.0,3.0,24.09,20592.0,2.0,930000.0
335.0,2016,2.0,3.0,2.0,9.6,39052.0,2.0,1280000.0
638.0,2016,1.0,3.0,2.0,20.43,24388.0,2.0,710000.0
290.0,2016,2.0,4.0,2.0,20.43,24388.0,2.0,750000.0
278.0,2016,2.0,4.0,1.0,22.21,34216.0,2.0,905000.0
1764.0,2016,2.0,3.0,1.0,43.91,36764.0,2.0,580000.0
650.0,2016,1.0,3.0,4.0,28.35,43628.0,2.0,1030000.0
735.0,2016,2.0,4.0,2.0,20.61,40092.0,2.0,1180000.0
975.0,2016,1.0,3.0,4.0,22.31,40560.0,2.0,1100000.0
739.0,2016,2.0,5.0,2.0,20.61,40092.0,2.0,1325000.0
569.0,2016,3.0,5.0,2.0,23.35,25376.0,2.0,1039000.0
170.0,2016,1.0,2.0,0.0,5.99,52884.0,2.0,977000.0
948.0,2016,1.0,3.0,0.0,17.06,39624.0,2.0,1130000.0
592.0,2016,0.0,0.0,0.0,46.98,32864.0,2.0,320000.0
177.0,2016,2.0,4.0,0.0,5.31,56784.0,2.0,1500000.0
394.0,2016,2.0,3.0,3.0,8.77,34996.0,2.0,1400000.0
1037.0,2016,2.0,5.0,2.0,53.4,34632.0,2.0,510000.0
220.0,2016,1.0,3.0,0.0,5.31,56784.0,2.0,1265000.0
335.0,2016,2.0,3.0,3.0,7.32,25740.0,2.0,1180000.0
556.0,2016,1.0,3.0,2.0,22.21,34216.0,2.0,865000.0
512.0,2016,1.0,4.0,2.0,9.6,39052.0,2.0,1720000.0
556.0,2016,2.0,3.0,1.0,22.21,34216.0,2.0,875000.0
696.0,2016,3.0,4.0,2.0,28.35,43628.0,2.0,1300000.0
273.0,2016,1.0,2.0,2.0,9.9,24856.0,2.0,1340000.0
620.0,2016,1.0,3.0,1.0,22.31,40560.0,2.0,1110000.0
355.0,2016,2.0,4.0,2.0,22.21,34216.0,2.0,862000.0
140.0,2016,1.0,1.0,1.0,28.35,43628.0,2.0,595000.0
602.0,2016,1.0,3.0,1.0,47.05,29432.0,2.0,520000.0
626.0,2016,1.0,3.0,1.0,60.03,30108.0,2.0,495000.0
732.0,2016,3.0,5.0,2.0,43.91,36764.0,2.0,715000.0
330.0,2016,2.0,3.0,1.0,60.03,30108.0,2.0,453000.0
955.0,2016,3.0,4.0,4.0,40.94,40716.0,2.0,870000.0
624.0,2016,2.0,4.0,2.0,47.05,29432.0,2.0,730000.0
1024.0,2016,2.0,3.0,6.0,19.05,44460.0,2.0,1250000.0
601.0,2016,1.0,4.0,1.0,53.4,34632.0,2.0,545000.0
272.0,2016,1.0,2.0,0.0,6.33,47684.0,2.0,1415000.0
111.0,2016,1.0,3.0,0.0,0.8,79300.0,2.0,1780000.0
171.0,2016,2.0,2.0,1.0,22.21,34216.0,2.0,619000.0
486.0,2016,0.0,1.0,0.0,63.59,31668.0,2.0,225000.0
588.0,2016,1.0,3.0,4.0,63.59,31668.0,2.0,450000.0
266.0,2016,2.0,3.0,2.0,9.35,41912.0,2.0,1230000.0
657.0,2016,3.0,5.0,3.0,28.35,43628.0,2.0,1440000.0
619.0,2016,2.0,5.0,2.0,30.17,25012.0,2.0,915000.0
139.0,2016,1.0,2.0,0.0,5.31,56784.0,2.0,925000.0
303.0,2016,1.0,2.0,1.0,6.12,44876.0,2.0,1280000.0
209.0,2016,1.0,2.0,1.0,5.31,56784.0,2.0,1085000.0
186.0,2016,1.0,3.0,0.0,5.31,56784.0,2.0,1160000.0
348.0,2016,2.0,3.0,1.0,5.31,56784.0,2.0,1800000.0
588.0,2016,1.0,3.0,2.0,20.06,34268.0,2.0,820000.0
822.0,2016,2.0,6.0,3.0,15.0,33644.0,2.0,1000000.0
853.0,2016,2.0,4.0,1.0,18.35,47112.0,2.0,1465000.0
961.0,2016,1.0,3.0,2.0,20.05,42484.0,2.0,1550000.0
551.0,2016,2.0,3.0,1.0,20.06,34268.0,2.0,761000.0
59.0,2016,1.0,1.0,1.0,4.72,45604.0,2.0,755000.0
696.0,2016,1.0,3.0,0.0,60.03,30108.0,2.0,500000.0
411.0,2016,1.0,3.0,1.0,6.33,47684.0,2.0,1543000.0
112.0,2016,1.0,2.0,1.0,5.06,69732.0,2.0,1100000.0
531.0,2016,1.0,2.0,1.0,9.6,39052.0,2.0,1650000.0
872.0,2016,2.0,4.0,8.0,41.58,31148.0,2.0,1255000.0
313.0,2016,1.0,4.0,1.0,20.44,31616.0,2.0,850000.0
556.0,2016,2.0,4.0,2.0,60.03,30108.0,2.0,478000.0
2396.0,2016,2.0,4.0,3.0,68.18,25480.0,2.0,690000.0
980.0,2016,2.0,3.0,1.0,44.72,37440.0,2.0,700000.0
522.0,2016,2.0,3.0,3.0,63.59,31668.0,2.0,540000.0
481.0,2016,1.0,3.0,2.0,17.06,39624.0,2.0,785000.0
588.0,2016,1.0,3.0,2.0,20.31,49296.0,2.0,950000.0
493.0,2016,1.0,3.0,1.0,53.4,34632.0,2.0,487000.0
917.0,2016,3.0,2.0,2.0,44.72,37440.0,2.0,660000.0
556.0,2016,1.0,4.0,2.0,20.43,24388.0,2.0,790000.0
200.0,2016,1.0,3.0,1.0,2.94,78780.0,2.0,1620000.0
8818.0,2016,2.0,5.0,6.0,57.07,43524.0,2.0,1200000.0
253.0,2016,1.0,3.0,0.0,9.35,41912.0,2.0,1105000.0
639.0,2016,1.0,3.0,1.0,53.4,34632.0,2.0,450000.0
553.0,2016,2.0,3.0,1.0,28.94,25688.0,2.0,732000.0
145.0,2016,2.0,3.0,2.0,5.06,69732.0,2.0,1800000.0
200.0,2016,2.0,3.0,1.0,32.83,40768.0,2.0,580000.0
251.0,2016,2.0,3.0,1.0,9.35,41912.0,2.0,1219000.0
468.0,2016,1.0,3.0,3.0,7.32,25740.0,2.0,1435500.0
306.0,2016,2.0,3.0,2.0,41.58,31148.0,2.0,629000.0
334.0,2016,1.0,2.0,2.0,6.33,47684.0,2.0,1500000.0
701.0,2016,1.0,3.0,1.0,8.77,34996.0,2.0,1390000.0
468.0,2016,2.0,4.0,2.0,8.77,34996.0,2.0,1740000.0
279.0,2016,1.0,3.0,2.0,5.99,52884.0,2.0,1365000.0
871.0,2016,0.0,0.0,0.0,46.09,33228.0,2.0,600000.0
930.0,2016,4.0,4.0,2.0,20.05,42484.0,2.0,1850000.0
700.0,2016,2.0,4.0,2.0,47.8,40352.0,2.0,739950.0
350.0,2016,3.0,5.0,2.0,22.31,40560.0,2.0,925000.0
524.0,2016,3.0,4.0,2.0,15.0,33644.0,2.0,1150000.0
556.0,2016,2.0,6.0,3.0,20.43,24388.0,2.0,920000.0
614.0,2016,2.0,4.0,1.0,63.59,31668.0,2.0,446000.0
522.0,2016,2.0,4.0,3.0,20.06,34268.0,2.0,1045000.0
790.0,2016,1.0,3.0,1.0,20.44,31616.0,2.0,935000.0
575.0,2016,2.0,4.0,2.0,20.44,31616.0,2.0,867000.0
220.0,2016,2.0,3.0,1.0,20.44,31616.0,2.0,689000.0
632.0,2016,2.0,3.0,2.0,42.74,32604.0,2.0,660000.0
544.0,2016,2.0,3.0,2.0,47.8,40352.0,2.0,587500.0
720.0,2016,1.0,4.0,0.0,15.0,33644.0,2.0,745000.0
118.0,2016,2.0,3.0,1.0,5.99,52884.0,2.0,730000.0
311.0,2016,2.0,3.0,1.0,60.03,30108.0,2.0,457000.0
591.0,2016,2.0,4.0,2.0,30.17,25012.0,2.0,820000.0
506.0,2016,1.0,2.0,1.0,60.03,30108.0,2.0,400000.0
556.0,2016,1.0,3.0,1.0,24.09,20592.0,2.0,675000.0
936.0,2016,1.0,3.0,2.0,15.0,33644.0,2.0,1225000.0
533.0,2016,2.0,4.0,2.0,43.91,36764.0,2.0,740000.0
1069.0,2016,2.0,5.0,5.0,22.31,40560.0,2.0,1525000.0
586.0,2016,2.0,3.0,2.0,30.17,25012.0,2.0,708000.0
1416.0,2016,1.0,3.0,0.0,13.47,48672.0,2.0,1570000.0
701.0,2016,2.0,4.0,2.0,47.8,40352.0,2.0,655000.0
431.0,2016,2.0,4.0,4.0,32.83,40768.0,2.0,795000.0
466.0,2016,2.0,3.0,2.0,18.83,43472.0,2.0,950000.0
603.0,2016,1.0,2.0,1.0,5.06,69732.0,2.0,900000.0
1024.0,2016,1.0,3.0,0.0,49.55,31252.0,2.0,545000.0
601.0,2016,1.0,3.0,2.0,68.18,25480.0,2.0,426000.0
638.0,2016,2.0,4.0,3.0,46.09,33228.0,2.0,650000.0
2890.0,2016,2.0,5.0,0.0,53.4,34632.0,2.0,720000.0
664.0,2016,2.0,5.0,4.0,22.31,40560.0,2.0,845000.0
565.0,2016,2.0,4.0,2.0,45.41,50336.0,2.0,875000.0
663.0,2016,3.0,4.0,2.0,63.59,31668.0,2.0,795000.0
300.0,2016,3.0,3.0,2.0,20.06,34268.0,2.0,915000.0
551.0,2016,1.0,3.0,1.0,53.4,34632.0,2.0,525000.0
336.0,2016,2.0,3.0,1.0,10.51,44876.0,2.0,1250000.0
702.0,2016,2.0,4.0,2.0,68.18,25480.0,2.0,495000.0
660.0,2016,2.0,3.0,2.0,68.18,25480.0,2.0,469000.0
432.0,2016,3.0,4.0,2.0,15.0,33644.0,2.0,1420000.0
562.0,2016,2.0,4.0,2.0,7.21,20800.0,2.0,1710000.0
556.0,2016,1.0,3.0,1.0,20.44,31616.0,2.0,766000.0
264.0,2016,1.0,3.0,0.0,4.85,54964.0,2.0,1840000.0
835.0,2016,1.0,2.0,1.0,13.47,48672.0,2.0,1212000.0
450.0,2016,0.0,0.0,0.0,45.41,50336.0,2.0,410000.0
619.0,2016,1.0,3.0,1.0,43.6,31980.0,2.0,518000.0
648.0,2016,1.0,3.0,1.0,46.98,32864.0,2.0,495000.0
581.0,2016,1.0,3.0,1.0,15.0,33644.0,2.0,930000.0
891.0,2016,3.0,4.0,4.0,43.6,31980.0,2.0,702000.0
720.0,2016,2.0,4.0,2.0,15.0,33644.0,2.0,1060000.0
512.0,2016,3.0,4.0,2.0,53.4,34632.0,2.0,695000.0
569.0,2016,2.0,3.0,1.0,76.65,29120.0,2.0,435000.0
784.0,2016,2.0,4.0,2.0,20.31,49296.0,2.0,960000.0
676.0,2016,1.0,6.0,6.0,46.09,33228.0,2.0,665000.0
687.0,2016,3.0,3.0,6.0,83.63,28964.0,2.0,1175000.0
540.0,2016,1.0,3.0,0.0,18.62,24700.0,2.0,750000.0
465.0,2016,1.0,2.0,1.0,68.18,25480.0,2.0,375000.0
540.0,2016,0.0,0.0,0.0,45.41,50336.0,2.0,454000.0
552.0,2016,2.0,4.0,3.0,15.0,33644.0,2.0,1059000.0
247.0,2016,2.0,3.0,3.0,5.99,52884.0,2.0,1400000.0
746.0,2016,2.0,4.0,0.0,43.91,36764.0,2.0,575000.0
929.0,2016,2.0,3.0,1.0,18.83,43472.0,2.0,1330000.0
700.0,2016,2.0,5.0,2.0,34.5,45812.0,2.0,910000.0
563.0,2016,2.0,3.0,2.0,30.17,25012.0,2.0,871000.0
692.0,2016,1.0,3.0,1.0,39.07,36764.0,2.0,595000.0
242.0,2016,1.0,3.0,1.0,6.74,48204.0,2.0,1160000.0
835.0,2016,2.0,4.0,2.0,12.23,38428.0,2.0,1820000.0
605.0,2016,3.0,4.0,2.0,30.17,25012.0,2.0,840000.0
450.0,2016,0.0,0.0,0.0,45.41,50336.0,2.0,410000.0
234.0,2016,1.0,3.0,0.0,5.99,52884.0,2.0,1330000.0
700.0,2016,2.0,4.0,2.0,34.5,45812.0,2.0,1080000.0
570.0,2016,2.0,3.0,2.0,30.17,25012.0,2.0,780000.0
1367.0,2016,2.0,5.0,3.0,68.18,25480.0,2.0,770888.0
702.0,2016,2.0,4.0,2.0,13.21,35412.0,2.0,1865000.0
590.0,2016,2.0,4.0,2.0,30.17,25012.0,2.0,860000.0
177.0,2016,1.0,4.0,0.0,5.99,52884.0,2.0,1510000.0
600.0,2016,3.0,4.0,2.0,30.17,25012.0,2.0,985000.0
237.0,2016,2.0,3.0,1.0,5.99,52884.0,2.0,1580000.0
585.0,2016,2.0,4.0,1.0,30.17,25012.0,2.0,735500.0
575.0,2016,1.0,2.0,2.0,20.31,49296.0,2.0,988000.0
620.0,2016,2.0,5.0,2.0,47.8,40352.0,1.77,746000.0
1100.0,2016,4.0,5.0,4.0,46.33,37076.0,1.77,1275000.0
751.0,2016,1.0,3.0,3.0,43.91,36764.0,1.77,522000.0
700.0,2016,3.0,5.0,2.0,34.5,45812.0,1.77,1140000.0
848.0,2016,2.0,3.0,2.0,68.18,25480.0,1.77,500000.0
332.0,2016,1.0,3.0,1.0,76.65,29120.0,1.77,397000.0
633.0,2016,1.0,3.0,2.0,48.41,37024.0,1.77,570000.0
850.0,2016,1.0,2.0,2.0,13.47,48672.0,1.77,1475000.0
417.0,2016,1.0,3.0,1.0,8.19,59228.0,1.77,1675000.0
572.0,2016,2.0,3.0,2.0,30.78,25376.0,1.77,756000.0
61.0,2016,1.0,1.0,1.0,5.99,52884.0,1.77,597000.0
696.0,2016,2.0,3.0,2.0,43.6,31980.0,1.77,550000.0
81.0,2016,1.0,2.0,1.0,6.13,57356.0,1.77,1010000.0
664.0,2016,3.0,4.0,2.0,56.07,35932.0,1.77,1045000.0
629.0,2016,1.0,2.0,1.0,20.31,49296.0,1.77,851000.0
563.0,2016,2.0,4.0,2.0,76.65,29120.0,1.77,500000.0
629.0,2016,2.0,4.0,2.0,48.41,37024.0,1.77,630000.0
450.0,2016,2.0,4.0,2.0,45.41,50336.0,1.77,790000.0
